0,1,2,3,4
2,1,,3,4
3,0.25,,not incel,"those follow societ law dealt like other behavior countries. let' learn lesson countries. thi happen after norway deport more than 70,000 muslim (whoa!) - the polit insid"
4,0,,not incel,
5,0,,not incel,what go around come around.
6,0,,not incel,jez dixon support her?
7,-0.063888889,,not incel,song year! http://politichicks.com/2016/11/greatest-song-youll-hear-year-difference-make/
8,0,,not incel,o'reilli assclown. anyth knucklehead say spin polit postur benefit o'reilly. He principles.
9,-0.047916667,,not incel,thank restor faith woman
10,0,,not incel,chri cooksey
11,0,,not incel,talk policy!! yes!!
12,0,,not incel,bill mitchel get block msm. enough said. #trump
13,0,,not incel,"wolf, cha"
14,1,,not incel,could not agre more! We together! let' go america! ban together! vote trump! We
15,0,,not incel,
16,0,,not incel,nanci crayton .. nanci here' fact .... gop know republicans... cut secur embassi budget 3 ... that three time . yeah fault ...
17,0.2,,not incel,that real talk real man
18,0.4,,not incel,I never hater ever smile .. alway look venom snake :)
19,0.5,,not incel,i'm voter articl speak about. i'm sure i'm .
20,0.321130952,,incel,"you idea talk about. If know he' support gay right sinc well-befor election. As well, appar believ hillari loyal gay community. so, fact donor countri toss gay top build donat big money clinton foundat tarnish even though willingli accept said donations...?? really?"
21,0,,not incel,So refer known conspiraci theorist call fact?
22,0,,not incel,conor hamilton
23,-0.466666667,,not incel,"what? one man opinion? and cathol bishop that. I agree, I think cathol church backward organis too. I ca not stand hillary. but trump even worse. either way, next presid awful."
24,0.166666667,,not incel,who cares? tom bradi back next week. :)
25,0.1,,not incel,thi page need work clear ad
26,0,,not incel,matt byron
27,0.35,,not incel,imagin
28,0,,not incel,peter csollani
29,0,,not incel,????????
30,0,,not incel,hang traitor.
31,-1,,incel,disgusting.
32,-0.425,,not incel,way go. mr. ben. carson. train ride. trump 2016.
33,0.049116162,,not incel,that' whole count!
34,0,,not incel,orlando miguel
35,0.5,,not incel,what great leader role model!
36,0,,not incel,michael withrow
37,0,,not incel,claim not verifi yet.
38,0,,not incel,???? T ???? R ???? U ???? M ???? P ???????? usaü??????
39,0,,not incel,s?? incineraˇ?i trabucul lui bill clinton ! ruˇ?in !
40,0,,not incel,Ty turner-bond
41,0,,not incel,hi wife slovenia chez slovakia
42,0,,not incel,codi faulkner
43,0,,not incel,"satan lost today, thank lord."
44,0,,not incel,demon lost soul
45,0,,not incel,be republican gender-neutral. let' vote... let' vote gop
46,0.5,,not incel,honor beli justic love
47,0,,not incel,
48,-0.05,,not incel,"that would huge help daughters, childcar expensive."
49,0,,incel,dirti cheat liar hole network hope go msmbc let' forget univis he' lie activist
50,0,,not incel,stop moderators. let peopl moder
51,-0.25,,not incel,kevin anderson
52,0,,not incel,"<ifram width=""560"" height=""315"" src=""https://www.youtube.com/embed/1fj6wytlgbo"" frameborder=""0"" allowfullscreen></iframe>"
53,0,,not incel,darshana ratnayak
54,0.25,,not incel,exactly. ????
55,0,,not incel,enough said! [[photo]]
56,0,,not incel,
57,0,,not incel,No surpris here!
58,-0.146484375,,not incel,keep go -they victim not tramp !!! [[photo]]
59,-0.107142857,,not incel,it' he' democrat. plain & simple.
60,0.8,,not incel,great job soldier ????????????
61,0,,not incel,Ca not wait mf die......
62,-0.8,,incel,"how give away what' ,can believ anti usa obumm ! what complet idiot"
63,0,,not incel,"trump supporters, nobodi like your post."
64,0,,not incel,god save queen uk.
65,0,,not incel,f**k mark cuban
